City Name,Country,Region,CBD Location,,Land Cover Dates,,,Share of Built-up Area Occupied by Roads,,Average Road Width (meters),,Share of Roads Less Than 4 Meters Wide,,Share of Roads More Than 16 Meters Wide,,Density of All Arterial Roads (km/km2),,Average Beeline Distance to All Arterial Roads (meters),,Share of Area within Walking Distance of All Arterial Roads,,Share of Area within Walking Distance of Wide Arterial Roads ,,Average Block Size (ha),,3-Way Intersection Density (number per km2),,4-Way Intersection Density (number per km2 ),,Share of Intersections that are 4-Way ,,Walkability Ratio,,Share of Built-up Area That Is Residential,,Share of Residential Areas Laid Out Before Development,,Share of Residential Areas Not Laid Out Before Development,,Share of Built-up Area That Is Gridded,,Share of Residential Area in Informal Land Subdivisions,,Share of Residential Area in Formal Land Subdivisions,,Share of Residential Area in Housing Projects,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,
Palembang,Indonesia,Southeast Asia,-2.958,104.736,4/1/90,7/1/01,6/1/13,13%,14%, 5.8 , 4.4 ,34%,50%,5%,2%, 0.90 , 0.45 , 400 , 783 ,80%,58%,64%,44%,4.1,6.1,104.1,71.2,16.1,6.9,9%,3%, 1.6 , 1.5 ,73%,57%,67%,22%,33%,78%,0%,0%,27%,12%,37%,3%,3%,6%, 189 ,, 185 , 244 
Palermo,Italy,Europe and Japan,38.135,13.330,7/1/87,5/1/00,7/1/13,21%,19%, 7.2 , 5.4 ,29%,39%,8%,1%, 2.32 , 1.86 , 165 , 197 ,97%,95%,85%,64%,3.1,6.3,155.9,105.4,19.5,10.2,7%,7%, 1.7 , 2.0 ,56%,59%,84%,63%,16%,37%,5%,0%,1%,21%,81%,42%,2%,0%,, 867 ," 1,119 ", 444 
Palmas,Brazil,Latin America and the Caribbean,-10.189,-48.330,4/1/90,6/1/00,8/1/13,30%,37%, 9.6 , 8.3 ,27%,19%,17%,9%, 2.18 , 1.14 , 189 , 590 ,96%,68%,96%,84%,3.4,2.9,89.2,173.9,22.9,43.0,27%,20%, 1.5 , 1.6 ,64%,86%,100%,96%,0%,4%,23%,0%,8%,41%,89%,55%,2%,0%, 395 , 350 , 342 , 306 
Parbhani,India,South and Central Asia,19.280,76.765,3/1/91,10/1/02,12/1/14,23%,27%, 6.5 , 3.8 ,16%,47%,3%,0%, 1.13 , 0.93 , 332 , 376 ,85%,80%,64%,60%,1.5,1.2,241.8,500.2,24.4,104.4,9%,17%, 1.8 , 1.7 ,79%,85%,97%,73%,3%,27%,0%,0%,81%,73%,16%,0%,0%,0%, 216 ,, 411 ,
Parepare,Indonesia,Southeast Asia,-7.772,112.195,8/1/94,8/1/00,7/1/14,13%,11%, 7.6 , 6.3 ,10%,15%,0%,0%, 2.44 , 1.69 , 142 , 179 ,99%,98%,40%,30%,4.9,8.5,65.3,75.0,9.5,19.8,9%,10%, 1.7 , 1.6 ,76%,86%,39%,39%,61%,61%,0%,0%,2%,13%,37%,25%,0%,1%,,,,
Paris,France,Europe and Japan,48.863,2.315,5/1/87,8/1/00,5/1/14,21%,15%, 9.2 , 6.2 ,10%,28%,11%,5%, 3.34 , 0.89 , 110 , 973 ,99%,46%,79%,24%,4.5,6.7,71.8,77.7,21.2,9.9,21%,10%, 1.6 , 1.6 ,76%,73%,70%,71%,22%,29%,6%,0%,0%,2%,63%,67%,15%,1%,,, 447 , 545 
Pematangtiantar,Indonesia,Southeast Asia,2.962,99.074,7/1/94,7/1/01,2/1/14,11%,14%, 6.1 , 5.0 ,26%,37%,1%,0%, 0.70 , 0.59 , 529 , 544 ,64%,64%,75%,77%,5.6,7.7,74.2,108.4,16.5,6.8,14%,4%, 1.6 , 1.8 ,75%,62%,59%,78%,41%,22%,10%,0%,12%,58%,47%,20%,0%,0%,,,,
Philadelphia,United States,Land-Rich Developed Countries,40.015,-75.168,6/1/90,5/1/00,4/1/14,22%,15%, 17.8 , 8.1 ,15%,15%,11%,7%, 1.79 , 0.86 , 223 , 394 ,93%,79%,70%,36%,3.6,9.9,109.7,27.6,16.5,5.2,14%,8%, 1.8 , 1.6 ,75%,85%,92%,90%,8%,10%,8%,0%,0%,0%,85%,85%,8%,5%,,, 709 , 986 
"Pingxiang, Jiangxi",China,East Asia and the Pacific,27.643,113.851,2/1/89,12/1/99,9/1/13,14%,12%, 6.5 , 4.0 ,39%,64%,8%,2%, 1.09 , 0.67 , 510 , 771 ,66%,63%,46%,54%,6.5,6.6,53.6,101.7,11.5,26.5,9%,9%, 1.5 , 1.3 ,67%,84%,20%,6%,80%,94%,0%,0%,5%,4%,8%,0%,7%,3%,,, 170 ,
Pokhara,Nepal,South and Central Asia,28.220,83.980,4/1/89,1/1/00,5/1/13,16%,17%, 6.0 , 4.8 ,29%,42%,2%,0%, 1.99 , 1.43 , 190 , 253 ,94%,89%,77%,76%,3.5,5.4,99.7,114.9,9.9,6.9,10%,5%, 1.7 , 1.7 ,60%,67%,18%,34%,82%,66%,0%,0%,15%,29%,1%,0%,1%,6%,,,,
Port Elizabeth,South Africa,Sub-Saharan Africa,13.052,5.230,6/1/90,7/1/01,7/1/13,22%,17%, 10.3 , 7.0 ,11%,20%,14%,3%, 1.06 , 0.89 , 370 , 601 ,81%,71%,78%,72%,4.8,3.3,89.5,93.4,11.1,16.5,8%,13%, 1.8 , 1.8 ,73%,84%,99%,92%,1%,8%,3%,0%,6%,20%,83%,70%,10%,2%, 297 , 290 , 646 , 755 
"Portland, OR",United States,Land-Rich Developed Countries,45.520,-122.666,9/1/90,9/1/00,8/1/14,23%,20%, 10.1 , 10.0 ,18%,10%,15%,8%, 1.96 , 1.70 , 189 , 218 ,96%,95%,92%,87%,4.3,4.9,97.8,60.3,20.8,4.4,17%,4%, 1.6 , 1.8 ,73%,90%,97%,72%,3%,28%,13%,0%,0%,0%,88%,64%,9%,8%,,, 640 , 842 
Pune,India,South and Central Asia,18.524,73.864,2/1/91,4/1/01,1/1/11,21%,21%, 9.9 , 7.8 ,6%,13%,13%,6%, 2.07 , 1.36 , 167 , 264 ,98%,91%,90%,73%,3.1,5.1,113.7,96.2,13.8,4.5,11%,3%, 1.6 , 2.0 ,71%,56%,77%,72%,23%,28%,0%,0%,0%,23%,73%,31%,4%,18%,,, 316 , 270 
Pyongyang,Korea Dem. Rep.,East Asia and the Pacific,39.045,125.767,3/1/90,5/1/00,3/1/14,22%,18%, 7.1 , 4.5 ,30%,55%,7%,2%, 2.15 , 1.91 , 172 , 195 ,97%,95%,86%,80%,4.2,6.7,130.6,92.0,8.6,3.6,5%,2%, 1.8 , 2.2 ,47%,30%,54%,48%,46%,52%,0%,0%,9%,45%,32%,0%,13%,2%,, 289 ,,
"Qingdao, Shandong",China,East Asia and the Pacific,36.220,120.403,5/1/90,1/1/00,8/1/13,27%,24%, 10.1 , 8.3 ,21%,23%,19%,10%, 2.14 , 1.18 , 168 , 380 ,98%,83%,97%,80%,3.5,4.7,159.6,168.0,32.7,51.0,17%,14%, 1.5 , 1.5 ,50%,57%,95%,100%,5%,0%,0%,0%,11%,24%,21%,12%,63%,64%,,,,
Qom,Iran,South and Central Asia,34.640,50.876,1/1/90,7/1/01,5/1/10,26%,29%, 9.3 , 10.5 ,14%,12%,14%,16%, 2.79 , 1.97 , 127 , 218 ,100%,94%,100%,96%,1.8,4.2,164.4,139.1,26.4,14.5,14%,12%, 1.6 , 1.7 ,75%,78%,91%,98%,9%,2%,0%,0%,3%,14%,84%,58%,4%,26%,,,, 166 
Quito,Ecuador,Latin America and the Caribbean,-0.135,-78.443,6/1/88,12/1/00,6/1/13,23%,22%, 12.0 , 7.8 ,6%,11%,20%,4%, 3.14 , 1.57 , 101 , 367 ,100%,83%,94%,68%,2.8,3.5,93.5,119.8,24.5,19.8,19%,14%, 1.6 , 1.8 ,56%,76%,98%,87%,2%,13%,8%,3%,0%,17%,90%,68%,9%,1%,, 543 , 336 , 374 
Rajshahi,Bangladesh,South and Central Asia,24.367,88.600,5/1/90,11/1/00,1/1/10,9%,12%, 4.8 , 4.9 ,48%,44%,3%,2%, 4.22 , 1.60 , 59 , 204 ,100%,94%,100%,72%,3.3,11.0,93.0,49.4,16.8,4.0,12%,7%, 1.5 , 1.6 ,85%,84%,0%,15%,100%,85%,0%,0%,0%,14%,0%,0%,0%,0%,, 360 ,,
Raleigh,United States,Land-Rich Developed Countries,35.807,-78.675,10/1/90,11/1/00,5/1/13,20%,19%, 9.1 , 9.5 ,7%,13%,10%,8%, 1.81 , 1.19 , 182 , 338 ,97%,85%,90%,59%,4.9,9.2,82.0,55.9,11.0,5.7,11%,7%, 2.0 , 1.8 ,83%,89%,93%,96%,7%,4%,3%,0%,0%,0%,78%,78%,15%,18%,,," 1,166 ", 521 
Rawang,Malaysia,Southeast Asia,3.330,101.577,6/1/89,9/1/01,3/1/14,24%,29%, 7.8 , 9.2 ,13%,13%,6%,14%, 1.15 , 0.72 , 341 , 558 ,82%,65%,66%,55%,2.3,3.5,162.5,140.8,16.7,13.8,7%,5%, 2.9 , 2.1 ,62%,54%,97%,96%,3%,4%,0%,0%,14%,14%,66%,35%,17%,46%, 376 ,, 319 ," 1,175 "
Reynosa,Mexico,Latin America and the Caribbean,26.063,-98.302,7/1/91,6/1/00,7/1/13,27%,30%, 9.8 , 8.7 ,10%,16%,10%,6%, 1.15 , 0.91 , 384 , 478 ,78%,70%,77%,68%,2.7,2.2,113.7,141.2,42.5,50.7,29%,26%, 1.9 , 1.9 ,68%,80%,94%,96%,6%,4%,30%,5%,31%,31%,56%,14%,7%,51%, 377 , 178 , 260 , 157 
Ribeirao Preto,Brazil,Latin America and the Caribbean,-21.172,-47.798,12/1/90,3/1/01,3/1/14,28%,27%, 11.3 , 8.0 ,7%,13%,16%,5%, 2.24 , 1.80 , 171 , 200 ,99%,96%,93%,90%,3.7,6.9,94.8,90.7,46.1,16.1,33%,12%, 1.8 , 1.8 ,77%,82%,97%,92%,3%,8%,43%,5%,0%,17%,90%,71%,6%,5%,," 3,208 ", 303 , 513 
Riyadh,Saudi Arabia,Western Asia and North Africa,24.686,46.742,8/1/90,8/1/00,8/1/13,35%,35%, 16.3 , 15.5 ,4%,6%,37%,38%, 2.24 , 1.57 , 178 , 304 ,96%,87%,96%,87%,3.3,5.8,149.9,111.0,16.3,4.9,9%,4%, 1.6 , 1.8 ,76%,54%,98%,95%,2%,5%,0%,0%,4%,5%,87%,78%,7%,12%,,, 448 , 432 
Rovno,Ukraine,Europe and Japan,50.624,26.248,5/1/90,5/1/00,5/1/14,20%,15%, 7.6 , 5.8 ,28%,34%,9%,3%, 2.05 , 1.42 , 179 , 313 ,97%,86%,88%,75%,3.9,6.5,132.3,86.2,14.5,11.8,7%,10%, 1.7 , 1.6 ,54%,74%,79%,52%,21%,48%,0%,0%,0%,34%,49%,17%,30%,1%,," 1,326 ", 776 ," 1,071 "
Saidpur,Bangladesh,South and Central Asia,25.802,88.881,11/1/90,11/1/01,4/1/14,9%,15%, 3.6 , 4.7 ,65%,46%,0%,0%, 2.81 , 1.90 , 98 , 173 ,100%,96%,15%,43%,2.8,9.7,103.0,77.0,17.3,6.1,8%,6%, 1.4 , 1.5 ,82%,71%,10%,15%,90%,85%,,,10%,3%,0%,0%,0%,12%,,,,
Saint Petersburg,Russia,Europe and Japan,59.911,30.348,7/1/90,5/1/00,5/1/14,26%,21%, 9.3 , 8.1 ,14%,20%,14%,9%, 1.19 , 0.90 , 433 , 523 ,78%,70%,76%,61%,3.3,5.3,133.0,77.1,19.9,6.1,12%,6%, 1.7 , 1.8 ,66%,83%,88%,70%,12%,30%,0%,5%,19%,34%,43%,25%,26%,11%,,,, 736 
San Salvador,El Salvador,Latin America and the Caribbean,13.700,-89.201,3/1/91,10/1/99,1/1/14,25%,23%, 10.4 , 8.1 ,7%,21%,14%,9%, 2.84 , 2.02 , 155 , 212 ,96%,93%,82%,74%,2.1,4.8,93.8,104.0,21.8,28.1,18%,12%, 1.6 , 1.8 ,68%,78%,81%,73%,19%,27%,5%,0%,17%,25%,62%,40%,2%,8%,, 77 , 91 , 157 
Sana,Yemen,Western Asia and North Africa,15.363,44.208,9/1/89,5/1/00,11/1/14,29%,28%, 10.7 , 7.8 ,15%,33%,16%,10%, 2.25 , 0.96 , 219 , 767 ,92%,70%,90%,69%,2.3,3.5,171.7,217.5,25.9,15.4,13%,5%, 1.7 , 1.7 ,63%,67%,69%,44%,31%,56%,0%,0%,17%,36%,49%,8%,3%,0%,, 221 , 193 , 407 
Santiago,Chile,Latin America and the Caribbean,-33.491,-70.670,1/1/90,1/1/00,4/1/14,25%,18%, 12.6 , 7.9 ,5%,16%,27%,10%, 3.01 , 2.37 , 126 , 199 ,99%,94%,99%,90%,3.5,6.5,60.7,116.5,26.5,19.9,34%,14%, 1.6 , 2.0 ,64%,77%,93%,84%,2%,16%,38%,5%,0%,5%,90%,63%,8%,15%,,, 493 , 282 
Sao Paulo,Brazil,Latin America and the Caribbean,-23.534,-46.615,9/1/88,4/1/00,7/1/14,24%,22%, 9.9 , 7.2 ,5%,11%,19%,1%, 2.36 , 0.53 , 162 ," 1,268 ",99%,39%,78%,23%,3.5,6.7,66.6,82.6,17.8,5.4,26%,6%, 1.8 , 1.7 ,72%,72%,92%,78%,1%,22%,22%,3%,4%,24%,92%,50%,4%,5%,,, 286 ,
Seoul,Korea Rep.,East Asia and the Pacific,37.495,126.939,8/1/91,5/1/00,5/1/14,22%,20%, 7.6 , 5.6 ,33%,45%,10%,4%, 2.51 , 0.79 , 177 , 478 ,95%,71%,93%,47%,2.4,6.3,131.8,95.6,29.2,14.9,16%,9%, 1.8 , 1.5 ,56%,43%,92%,35%,8%,65%,5%,0%,2%,6%,54%,7%,36%,21%,,, 242 ,
"Shanghai, Shanghai",China,East Asia and the Pacific,31.250,121.440,1/1/91,8/1/00,8/1/15,27%,22%, 9.7 , 8.2 ,16%,41%,25%,14%, 1.72 , 0.65 , 229 ," 1,286 ",93%,63%,93%,60%,6.1,6.8,67.3,80.9,17.8,10.2,20%,13%, 1.6 , 1.7 ,52%,47%,83%,55%,11%,45%,3%,8%,6%,17%,39%,10%,44%,28%,,, 302 ,
Sheffield,United Kingdom,Europe and Japan,53.454,-1.356,5/1/92,9/1/02,11/1/13,19%,17%, 8.0 , 7.5 ,24%,24%,6%,5%, 1.65 , 1.54 , 220 , 234 ,94%,93%,46%,44%,3.4,6.2,97.6,62.6,10.3,6.4,7%,6%, 1.6 , 1.5 ,68%,74%,97%,94%,3%,6%,0%,0%,0%,3%,90%,78%,7%,13%,,, 525 , 144 
"Shenzhen, Guangdong",China,East Asia and the Pacific,24.316,116.112,10/1/87,1/1/00,10/1/13,27%,25%, 10.7 , 8.4 ,21%,33%,17%,15%, 2.75 , 0.97 , 148 , 444 ,97%,80%,97%,80%,3.0,3.3,132.3,251.2,11.8,82.4,7%,18%, 1.8 , 1.7 ,44%,46%,91%,61%,9%,39%,0%,0%,0%,4%,51%,40%,40%,17%,, 158 , 302 , 214 
Shymkent,Kazakhstan,South and Central Asia,42.315,69.630,8/1/93,9/1/00,10/1/13,14%,17%, 8.5 , 7.7 ,14%,18%,8%,7%, 1.18 , 0.92 , 461 , 469 ,75%,74%,65%,58%,6.4,5.6,43.9,65.2,8.0,13.3,14%,15%, 1.7 , 1.8 ,72%,86%,81%,87%,19%,13%,8%,0%,23%,62%,46%,21%,12%,3%," 1,144 ", 959 , 729 , 879 
Sialkot,Pakistan,South and Central Asia,32.508,74.524,11/1/92,10/1/00,10/1/14,17%,17%, 7.1 , 5.1 ,46%,45%,12%,4%, 1.76 , 1.03 , 181 , 379 ,99%,81%,88%,70%,2.4,5.1,149.7,153.9,15.6,19.4,9%,6%, 1.6 , 1.8 ,75%,73%,43%,31%,57%,69%,0%,0%,18%,16%,24%,7%,1%,7%,,, 332 , 234 
Singapore,Singapore,Southeast Asia,1.290,103.850,4/1/90,10/1/02,4/1/13,24%,26%, 11.7 , 9.1 ,7%,22%,24%,15%, 1.74 , 1.42 , 243 , 513 ,93%,83%,92%,83%,4.5,3.9,78.2,100.3,4.7,16.2,5%,15%, 2.2 , 2.0 ,55%,56%,96%,86%,4%,14%,0%,10%,0%,0%,38%,14%,58%,72%,,,, 520 
Singrauli,India,South and Central Asia,82.671,24.200,1/1/90,2/1/00,2/1/10,28%,19%, 8.5 , 6.2 ,7%,28%,7%,5%, 0.02 , 0.62 ," 1,182 ", 678 ,21%,54%,21%,58%,3.4,6.0,180.4,137.0,19.8,12.0,8%,5%, 1.5 , 1.7 ,61%,75%,99%,67%,1%,33%,,0%,0%,33%,22%,4%,77%,30%,, 236 , 226 ,
Sitapur,India,South and Central Asia,27.568,80.692,2/1/89,4/1/00,3/1/14,17%,25%, 5.5 , 5.0 ,46%,42%,5%,0%, 1.95 , 1.69 , 175 , 251 ,96%,90%,78%,75%,2.6,4.8,202.8,132.3,26.4,6.8,10%,6%, 1.8 , 1.3 ,70%,51%,74%,99%,26%,1%,10%,0%,70%,79%,3%,0%,0%,20%, 108 , 93 , 149 ,
"Springfield, MA",United States,Land-Rich Developed Countries,37.190,-93.293,9/1/91,9/1/00,10/1/14,18%,16%, 8.1 , 7.9 ,19%,13%,9%,3%, 1.94 , 1.36 , 246 , 275 ,92%,89%,75%,48%,3.8,7.2,96.7,45.1,8.5,8.5,8%,5%, 1.6 , 1.6 ,73%,76%,90%,68%,10%,32%,3%,0%,0%,0%,86%,66%,4%,2%,,, 950 ," 1,508 "
"Suining, Sichuan",China,East Asia and the Pacific,30.524,105.564,9/1/88,7/1/00,8/1/13,28%,28%, 10.8 , 11.0 ,7%,9%,20%,19%, 2.64 , 1.77 , 117 , 190 ,100%,96%,100%,94%,2.2,5.6,209.3,139.5,17.9,15.2,7%,6%, 1.4 , 1.9 ,69%,60%,98%,74%,2%,26%,0%,0%,0%,14%,98%,30%,0%,30%,,,,
Suva,Fiji,East Asia and the Pacific,-18.142,178.441,8/1/91,10/1/99,5/1/14,24%,13%, 10.9 , 8.4 ,7%,19%,17%,9%, 2.90 , 1.39 , 83 , 253 ,100%,90%,100%,90%,5.2,8.4,141.9,31.9,5.0,1.3,1%,2%, 1.5 , 1.6 ,48%,84%,71%,60%,29%,40%,0%,0%,0%,15%,69%,42%,2%,3%,,,,
Sydney,Australia,Land-Rich Developed Countries,-33.854,150.998,4/1/91,2/1/00,8/1/14,26%,20%, 15.7 , 9.9 ,5%,8%,51%,16%, 2.30 , 1.28 , 163 , 357 ,97%,82%,97%,76%,5.8,6.2,61.2,35.9,17.4,3.1,17%,4%, 1.7 , 1.8 ,82%,78%,96%,87%,0%,13%,9%,3%,0%,0%,93%,80%,7%,7%,,, 575 , 707 
"Taipei, Taiwan",China,East Asia and the Pacific,25.047,121.546,7/1/90,3/1/01,1/1/14,22%,18%, 8.5 , 5.3 ,22%,44%,12%,3%, 4.62 , 3.06 , 83 , 134 ,99%,98%,96%,82%,2.9,7.7,134.9,96.0,24.1,7.9,13%,3%, 1.6 , 1.9 ,47%,40%,77%,45%,23%,55%,0%,0%,0%,1%,70%,36%,7%,8%,,, 209 ,
"Tangshan, Hebei",China,East Asia and the Pacific,39.648,118.190,9/1/90,7/1/00,7/1/13,20%,17%, 6.7 , 5.7 ,33%,43%,7%,5%, 1.37 , 0.76 , 318 , 840 ,86%,63%,84%,59%,3.0,5.5,203.8,151.3,30.7,19.5,10%,9%, 1.6 , 1.6 ,52%,58%,99%,88%,1%,12%,3%,0%,42%,68%,45%,13%,13%,7%,, 308 ,, 374 
Tashkent,Uzbekistan,South and Central Asia,41.297,69.233,8/1/90,10/1/99,9/1/13,16%,12%, 8.8 , 5.6 ,13%,30%,11%,2%, 1.03 , 0.90 , 412 , 445 ,79%,76%,77%,72%,5.7,5.9,61.2,46.4,7.8,7.3,8%,12%, 1.8 , 1.7 ,72%,80%,84%,92%,16%,8%,0%,0%,37%,89%,37%,0%,10%,3%, 962 ," 1,104 ",,
Tebessa ,Algeria,Western Asia and North Africa,35.416,8.108,5/1/88,6/1/01,8/1/14,24%,23%, 7.8 , 6.2 ,29%,32%,10%,7%, 1.74 , 1.24 , 205 , 305 ,95%,85%,86%,81%,1.4,2.5,249.5,283.2,44.2,57.2,12%,13%, 1.7 , 1.6 ,62%,61%,93%,80%,7%,20%,3%,0%,45%,52%,33%,2%,15%,26%, 251 , 178 , 330 , 240 
Tehran,Iran,South and Central Asia,35.705,51.384,6/1/91,7/1/00,6/1/10,22%,28%, 11.2 , 9.5 ,16%,19%,19%,15%, 2.36 , 1.90 , 176 , 255 ,96%,91%,96%,90%,4.1,4.2,80.5,162.0,27.8,23.5,16%,14%, 1.5 , 2.1 ,71%,63%,66%,76%,20%,24%,12%,0%,0%,19%,74%,41%,6%,16%,,, 258 ,
Tel Aviv,Israel,Western Asia and North Africa,32.077,34.839,8/1/87,5/1/00,8/1/14,23%,22%, 11.8 , 9.4 ,7%,19%,19%,14%, 2.03 , 1.13 , 178 , 376 ,97%,81%,96%,78%,4.0,5.7,76.2,64.8,109.8,7.7,21%,10%, 1.6 , 2.1 ,70%,72%,71%,83%,14%,17%,1%,0%,1%,17%,73%,59%,12%,7%,, 554 , 487 , 772 
Thessaloniki,Greece,Europe and Japan,40.650,22.916,8/1/90,3/1/00,9/1/11,23%,21%, 8.5 , 7.0 ,21%,23%,10%,9%, 2.91 , 2.09 , 138 , 198 ,98%,94%,89%,78%,5.1,9.1,159.4,83.9,46.2,9.5,23%,10%, 1.7 , 2.3 ,60%,57%,95%,91%,5%,9%,8%,0%,1%,31%,91%,54%,3%,6%,,,,
"Tianjin,  Tianjin",China,East Asia and the Pacific,39.142,117.189,10/1/90,6/1/00,9/1/13,22%,23%, 9.2 , 8.4 ,24%,30%,12%,13%, 2.32 , 0.77 , 173 , 522 ,97%,69%,96%,61%,3.0,5.7,119.0,99.6,18.3,15.9,12%,14%, 1.9 , 1.9 ,42%,46%,96%,95%,4%,5%,0%,0%,9%,25%,16%,19%,71%,51%,,,,
Tijuana,Mexico,Latin America and the Caribbean,32.499,-116.970,4/1/89,4/1/00,5/1/14,23%,26%, 11.3 , 9.3 ,7%,8%,18%,8%, 1.94 , 1.55 , 172 , 233 ,98%,93%,81%,73%,3.5,3.0,82.7,110.7,17.2,27.9,17%,21%, 1.7 , 1.8 ,71%,77%,95%,93%,5%,7%,15%,13%,10%,50%,85%,28%,1%,16%, 315 ,, 259 , 155 
Tokyo,Japan,Europe and Japan,35.682,139.649,12/1/90,9/1/00,5/1/14,37%,25%, 5.4 , 5.0 ,46%,51%,3%,3%, 2.75 , 1.73 , 129 , 198 ,99%,93%,84%,58%,1.6,2.5,169.0,194.1,40.9,47.2,18%,16%, 1.5 , 1.4 ,62%,56%,49%,53%,47%,47%,16%,3%,0%,2%,49%,49%,4%,2%, 350 ,, 200 , 230 
Toledo,United States,Land-Rich Developed Countries,41.655,-83.602,8/1/90,9/1/00,6/1/14,21%,18%, 8.6 , 9.3 ,25%,14%,17%,22%, 1.42 , 1.17 , 258 , 340 ,91%,84%,74%,57%,2.4,6.9,126.3,75.1,25.3,3.3,18%,4%, 1.7 , 1.6 ,72%,80%,98%,67%,2%,33%,3%,0%,0%,0%,89%,59%,9%,8%,,, 625 ," 1,238 "
Tyumen,Russia,Europe and Japan,57.160,65.551,4/1/90,8/1/99,9/1/11,20%,19%, 7.7 , 6.7 ,18%,20%,7%,6%, 1.32 , 1.07 , 312 , 392 ,86%,79%,85%,76%,5.2,3.8,109.2,126.4,12.5,18.5,10%,16%, 1.8 , 1.7 ,47%,84%,85%,100%,15%,0%,10%,3%,38%,86%,20%,11%,27%,3%, 471 , 900 ," 1,104 "," 1,185 "
Ulaanbaatar,Mongolia,East Asia and the Pacific,47.930,106.889,9/1/90,8/1/01,6/1/14,15%,12%, 7.1 , 4.2 ,25%,51%,8%,0%, 1.60 , 1.18 , 272 , 394 ,89%,78%,81%,67%,5.6,4.4,84.9,91.4,4.2,9.6,3%,8%, 1.8 , 1.7 ,66%,85%,76%,75%,24%,25%,0%,0%,65%,71%,5%,0%,6%,3%, 643 , 629 ,,
Valledupar,Colombia,Latin America and the Caribbean,10.464,-73.261,12/1/89,10/1/01,2/1/11,21%,26%, 8.9 , 6.9 ,8%,15%,9%,2%, 3.30 , 2.36 , 107 , 209 ,99%,90%,97%,86%,1.3,2.2,119.2,182.7,68.4,90.9,38%,33%, 1.4 , 1.7 ,74%,90%,100%,96%,0%,4%,68%,30%,23%,56%,76%,1%,0%,39%,, 90 ,,
Victoria,Canada,Land-Rich Developed Countries,48.456,-123.401,8/1/90,7/1/00,9/1/13,19%,17%, 9.8 , 7.3 ,9%,22%,12%,4%, 1.99 , 1.56 , 185 , 260 ,96%,89%,88%,75%,7.5,13.5,68.1,22.2,11.5,3.5,19%,3%, 1.8 , 1.3 ,83%,75%,92%,66%,8%,34%,3%,0%,0%,6%,84%,57%,8%,3%,,, 778 , 725 
Vienna,Austria,Europe and Japan,48.124,16.346,6/1/91,9/1/00,8/1/13,22%,18%, 7.8 , 6.6 ,24%,22%,9%,1%, 2.01 , 1.75 , 169 , 207 ,98%,95%,84%,71%,2.8,4.9,198.2,102.7,40.1,16.5,19%,10%, 1.7 , 2.1 ,68%,78%,99%,88%,1%,12%,5%,0%,1%,0%,83%,81%,15%,7%,,, 575 , 587 
Vijayawada,India,South and Central Asia,16.515,80.641,11/1/91,10/1/00,6/1/14,20%,18%, 7.0 , 5.8 ,20%,32%,8%,4%, 2.05 , 1.65 , 161 , 221 ,99%,94%,92%,87%,1.8,6.8,157.7,130.3,34.4,17.2,15%,6%, 1.7 , 1.8 ,74%,70%,80%,64%,20%,36%,0%,0%,26%,60%,52%,5%,1%,0%, 281 , 195 , 233 , 69 
Vinh Long,Vietnam,Southeast Asia,10.250,105.967,4/1/89,11/1/00,1/1/14,16%,10%, 7.7 , 6.1 ,19%,46%,4%,8%, 3.63 , 1.03 , 74 , 321 ,100%,84%,90%,67%,1.9,14.4,92.4,32.9,23.4,6.3,22%,2%, 1.4 , 1.3 ,66%,67%,54%,2%,46%,98%,0%,0%,0%,2%,54%,0%,0%,0%,,,,
Warsaw,Poland,Europe and Japan,52.234,21.024,5/1/92,8/1/00,9/1/13,22%,15%, 9.3 , 6.3 ,8%,24%,12%,1%, 1.92 , 1.58 , 185 , 214 ,96%,94%,79%,65%,6.0,6.9,29.4,79.2,19.4,17.4,20%,14%, 1.6 , 1.6 ,68%,77%,89%,85%,5%,15%,4%,5%,8%,37%,67%,41%,20%,7%, 22 ," 1,401 ", 772 , 751 
"Wuhan, Hubei",China,East Asia and the Pacific,30.576,114.295,9/1/90,9/1/00,9/1/13,21%,23%, 10.1 , 7.3 ,27%,41%,17%,11%, 1.77 , 0.40 , 246 , 994 ,91%,67%,90%,66%,5.7,5.3,91.9,172.7,8.5,23.6,6%,7%, 1.7 , 1.7 ,41%,65%,60%,60%,40%,40%,0%,0%,1%,12%,18%,0%,41%,48%,,,,
"Xingping, Shaanxi",China,East Asia and the Pacific,34.308,108.463,7/1/92,6/1/00,6/1/13,16%,17%, 9.8 , 7.4 ,18%,29%,20%,8%, 1.63 , 0.82 , 193 , 453 ,99%,75%,99%,77%,5.5,6.9,63.0,80.3,7.5,15.0,12%,16%, 1.5 , 1.7 ,54%,65%,93%,94%,7%,6%,0%,0%,8%,76%,84%,2%,1%,16%,,,,
"Xucheng, Jiangsu",China,East Asia and the Pacific,33.004,118.507,10/1/90,9/1/00,8/1/13,20%,24%, 8.5 , 9.2 ,21%,35%,22%,18%, 1.82 , 1.31 , 136 , 259 ,100%,92%,100%,91%,3.7,7.4,52.5,105.5,10.0,12.6,10%,8%, 1.4 , 1.6 ,68%,56%,11%,55%,90%,45%,0%,0%,0%,38%,0%,1%,11%,16%,,,,
